Filename,Category,Description,,,,,,,
enemy_handy_attack.lua,Combat Core,Convenient attack patterns for quick implementation,,,,,,,
enemy_keepdist.lua,Combat Positioning,Enemy distance management during combat,,,,,,,
enemy_multi_attack.lua,Combat Core,Multiple target attack coordination,,,,,,,
event_list.lua,System,AI event definitions and event handling constants,,,,,,,
fall.lua,Movement,Falling and gravity-based movement behavior,,,,,,,
flexible_sideway.lua,Movement,Adaptive sideways movement for positioning,,,,,,,
gaurd_break_attack.lua,Combat Special,Guard-breaking attack sequences,,,,,,,
gaurd_break_tunable.lua,Combat Special,Tunable guard-breaking mechanics,,,,,,,
goal_list.lua,System,Comprehensive goal ID definitions for all AI behaviors,,,,,,,
guard_break_combo.lua,Combat Combos,Combo attacks that break through enemy guards,,,,,,,
if.lua,System,Conditional logic framework for AI decision making,,,,,,,
keep_dist_yaxis.lua,Combat Positioning,Y-axis distance management for vertical positioning,,,,,,,
kugutsu_act.lua,Environment,Puppet/mechanism interaction behavior,,,,,,,
ladder_act.lua,Environment,Ladder climbing and navigation behavior,,,,,,,
landing.lua,Movement,Landing behavior after aerial movement or jumps,,,,,,,
Leave_lifeSuccess.lua,Movement,Target leaving behavior with life-based conditions,,,,,,,
logic_list.lua,System,Logic ID definitions mapping to specific AI controllers,,,,,,,
move_movepoint_air.lua,Movement,Aerial movement between predefined points,,,,,,,
move_to_point.lua,Movement,Basic point-to-point movement behavior,,,,,,,
non_battle_act.lua,Non-Combat,Idle and exploration behavior outside of combat,,,,,,,
nonspinning_attack.lua,Combat Core,Attack system without rotation mechanics,,,,,,,
nonspinning_combo_attack.lua,Combat Combos,Combo attacks without spinning elements,,,,,,,
nonspinning_combo_final.lua,Combat Combos,Final combo hits without rotation,,,,,,,
nonspinning_combo_repeat.lua,Combat Combos,Repeating combos without spinning mechanics,,,,,,,
normal.lua,Core Logic,Basic AI state with simple attack and movement patterns,,,,,,,
npc_subgoals.lua,System,Sub-goal definitions specific to NPC behavior,,,,,,,
obj_act.lua,Environment,Generic object interaction and activation behavior,,,,,,,
pursuit.lua,Combat Special,Target pursuit and chase behavior during combat,,,,,,,
route_move.lua,Movement,Predefined route following and patrol behavior,,,,,,,
set_number_realtime.lua,System,Real-time number variable management,,,,,,,
set_timer_realtime.lua,System,Real-time timer management for AI behaviors,,,,,,,
specialTurn.lua,Movement,Special turning mechanics for complex rotations,,,,,,,
step.lua,Movement,Step-based movement and evasion behavior,,,,,,,
step_safety.lua,Movement,Safe stepping with collision and hazard avoidance,,,,,,,
table_ai_common.lua,System,Common AI data tables and lookup structures,,,,,,,
team_call_help.lua,Team Coordination,Help request system for team-based AI,,,,,,,
team_reply_help.lua,Team Coordination,Response system for help requests from allies,,,,,,,
top_goal.lua,Core Logic,Top-level goal management and interrupt handling,,,,,,,
turn.lua,Movement,Basic turning and orientation behavior,,,,,,,
turnaround.lua,Movement,180-degree turn and reversal behavior,,,,,,,
use_item.lua,Environment,Item usage and consumption behavior,,,,,,,
wait_on_failed_path.lua,Movement,Wait behavior when pathfinding encounters obstacles,,,,,,,
wait_with_anime.lua,System,Waiting behavior with animation playback,,,,,,,
walk_around.lua,Movement,Random walking and patrol behavior,,,,,,,
walk_around_on_failed_path.lua,Movement,Alternative patrol when normal paths are blocked,,,,,,,
weapon_change.lua,Equipment,Weapon switching and equipment management,,,,,,,
yousumi_action.lua,Environment,Yousumi-specific action behavior,,,,,,,
