GOAL名称,GOAL类型,功能描述,参数0名称,参数0说明,参数1名称,参数1说明,参数2名称,参数2说明,参数3名称,参数3说明,参数4名称,参数4说明,参数5名称,参数5说明,参数6名称,参数6说明,攻击角度,旋回时间默认值,正面角度默认值,移动是否启用,是否可中断,特殊机制说明
GOAL_COMMON_DashAttack,基础攻击,冲刺接近后执行攻击的组合技,移動対象Type,移动目标类型,攻撃開始距離(m),攻击开始距离(米),攻撃EzState番号,攻击动画状态ID,ガードEzState番号,防御动画状态ID,,,,,,,根据具体攻击,无,无,是,否,StartDash+ApproachTarget+DashAttack_Attack
GOAL_COMMON_DashAttack_Attack,基础攻击,冲刺攻击的实际攻击执行部分,移動対象Type,移动目标类型,攻撃EzState番号,攻击动画状态ID,,,,,,,,,,,根据具体攻击,无,无,是,否,MoveTo+Attack组合
GOAL_COMMON_ComboAttack,连击攻击,连击序列的起始段，90度精确连击,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,连击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,成功角度,连击成功角度(度),,90度,无,无,是,否,移动启用+连击状态建立,
GOAL_COMMON_ComboAttackTunableSpin,连击攻击,结合智能转向和连击的攻击，适合追击移动目标,StateID,连击动画状态ID,対象,攻击目标,成功距離,连击成功距离,攻撃前旋回時間,攻击前旋回时间(秒),正面判定角度,正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,90度,1.5秒(负值时),20度(负值时),是,否,智能转向+连击支持+移动启用
GOAL_COMMON_ComboAttack_SuccessAngle180,连击攻击,使用180度攻击角度的连击，提供更宽广的命中范围,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,连击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,无,无,是,否,广域连击+移动启用
GOAL_COMMON_ComboTunable_SuccessAngle180,连击攻击,可调旋转+180度宽角度的连击组合,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,连击成功距离,攻撃前旋回時間(秒),攻击前旋转时间(秒),正面判定角度(度),正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,180度,1.5秒(负值时),20度(负值时),是,否,双重优势：可调旋转+180度宽角度
GOAL_COMMON_ComboRepeat,连击攻击,连击序列中的重复攻击段，可多次重复执行,StateID,动画状态ID,対象,攻击目标,成功距離,连击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,成功角度,连击成功角度(度),,90度,0秒,90度,是,否,ENABLE_COMBO_ATK_CANCEL+零延迟重复,
GOAL_COMMON_ComboRepeat_SuccessAngle180,连击攻击,使用180度角度的连击重复技,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,连击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,0秒,180度,是,否,广域重复技+零延迟
GOAL_COMMON_ComboFinal,连击攻击,连击序列的最终攻击段，提供强力收尾,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,连击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度攻击角/90度连击角,0秒,90度,否,否,ENABLE_COMBO_ATK_CANCEL+高威力终结
GOAL_COMMON_NonspinningComboAttack,连击攻击,无旋转调整的连续攻击组合，攻击间隔短,EzState番号,连击动画状态ID,攻撃対象Type,攻击目标类型,成功距離Type,成功距离类型,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,0秒,180度,是,否,旋转时间0秒+连击取消机制
GOAL_COMMON_NonspinningComboRepeat,连击攻击,无旋转的快速连击重复技,EzState番号,连击动画状态ID,攻撃対象Type,攻击目标类型,成功距離Type,成功距离类型,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,0秒,180度,是,否,零延迟+无旋转重复
GOAL_COMMON_NonspinningComboFinal,连击攻击,无旋转的连击终结技，快速收尾,EzState番号,连击动画状态ID,攻撃対象Type,攻击目标类型,成功距離Type,成功距离类型,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,0秒,180度,否,否,零延迟终结技
GOAL_COMMON_GuardBreakCombo,连击攻击,两段式架势破坏攻击组合,１段目の攻撃番号,第一段攻击编号,２段目の攻撃番号,第二段攻击编号,攻撃対象,攻击目标,成功距離(２段目),成功距离(应用于第二段),攻撃前旋回時間,攻击前旋转时间,正面判定角度,正面判定角度,,,依赖子Goal,依赖子Goal,依赖子Goal,依赖子Goal,否,双重子目标：GuardBreakTunable+ComboFinal
GOAL_EnemyMultiAttack,敌人专用,敌人专用的多段攻击选择系统,対象,攻击目标,コンボ確率,连击概率(%),攻撃1,第1段攻击ID,攻撃2,第2段攻击ID,攻撃3,第3段攻击ID,攻撃4,第4段攻击ID,攻撃5/6,第5/6段攻击ID,依赖配置,依赖配置,依赖配置,依赖配置,否,多段攻击选择+概率控制(最多6段)
GOAL_EnemyDeriveAttackMain,敌人专用,敌人派生攻击系统的主控制器,対象,攻击目标,攻撃,当前攻击ID,派生確率,派生概率(%),最大段数,最大派生段数,現在段数,当前执行段数,同じ攻撃を出さないか,是否避免重复攻击,,依赖配置,依赖配置,依赖配置,依赖配置,否,派生攻击链+防重复机制,
GOAL_EnemyDeriveAttackSub,敌人专用,敌人派生攻击系统的子控制器,対象,攻击目标,攻撃,攻击ID,派生確率,派生概率(%),最大段数,最大派生段数,,,,,,,依赖配置,依赖配置,依赖配置,依赖配置,否,派生攻击执行单元
GOAL_EnemyHandyAttack,敌人专用,敌人专用的便捷多攻击选择系统,対象,攻击目标,チェインか,是否连锁,攻撃1,第1个攻击ID,攻撃2,第2个攻击ID,攻撃3,第3个攻击ID,攻撃4-6,第4-6个攻击ID,確率1-5,各攻击概率,依赖配置,依赖配置,依赖配置,依赖配置,否,最多6个攻击+概率权重选择
GOAL_EnemyChainAttack,敌人专用,敌人专用的连锁攻击系统,対象,攻击目标,コンボ確率,连击概率(%),攻撃1,第1段攻击ID,攻撃2,第2段攻击ID,攻撃3,第3段攻击ID,攻撃4-6,第4-6段攻击ID,,依赖配置,依赖配置,依赖配置,依赖配置,否,连锁攻击序列+最多6段,
GOAL_COMMON_CommonAttack,底层框架,所有攻击类型的底层执行框架，提供实际攻击执行,生命周期,行为持续时间,动画状态ID,动画状态ID,攻击目标,攻击目标,成功距离,成功距离,攻击角度,攻击角度,移动速度/旋回时间,移动速度或旋回时间,转身速度/正面角度,转身速度或正面角度,可配置,可配置,可配置,可配置,否,空实现-等待填充的底层框架
